dataproduct_type,dataproduct_subtype,facility_name,calib_level,target_name,obs_id,obs_collection,obs_publisher_did,access_url,access_format,s_resolution,s_xel1,s_xel2,t_xel,t_min,t_max,t_exptime,t_resolution,em_xel,em_min,em_max,em_res_power,em_filter_name,o_ucd,pol_xel,instrument_name,lsst_visit,lsst_detector,lsst_tract,lsst_patch,lsst_band,lsst_filter,obs_title,s_ra,s_dec,s_fov,s_region
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-9570-70,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-429e-74e5-a912-5af2bd5e8b7b,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-429e-74e5-a912-5af2bd5e8b7b,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,9570,70,i,,deep_coadd - i - tract=9570 patch=70,150.37969046506464,1.1603879185456634,0.25924159330542634,POLYGON ICRS 150.288010 1.068755 150.471341 1.068711 150.471376 1.252014 150.288038 1.252067
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-9570-71,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-1614-7397-9b2c-3fe62cf1f149,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-1614-7397-9b2c-3fe62cf1f149,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,9570,71,i,,deep_coadd - i - tract=9570 patch=71,150.21301727176154,1.1604271900395067,0.25925160796671803,POLYGON ICRS 150.121334 1.068787 150.304677 1.068752 150.304705 1.252063 150.121355 1.252103
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-9570-72,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-b4dd-7136-a3bc-6629ac6a15ef,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-b4dd-7136-a3bc-6629ac6a15ef,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,9570,72,i,,deep_coadd - i - tract=9570 patch=72,150.04633420411275,1.1604566458606125,0.2592583338395299,POLYGON ICRS 149.954650 1.068809 150.138002 1.068784 150.138023 1.252100 149.954663 1.252129
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-9570-73,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-8888-742a-b3e0-92e2b584c352,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-8888-742a-b3e0-92e2b584c352,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,9570,73,i,,deep_coadd - i - tract=9570 patch=73,149.879644082773,1.1604762837796607,0.25926257402724573,POLYGON ICRS 149.787960 1.068822 149.971318 1.068807 149.971333 1.252127 149.787966 1.252145
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-9570-74,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-6d4b-70f0-83de-63ec9da41024,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-6d4b-70f0-83de-63ec9da41024,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,9570,74,i,,deep_coadd - i - tract=9570 patch=74,149.71294972912233,1.1604861022912238,0.2592635238471431,POLYGON ICRS 149.621267 1.068826 149.804629 1.068821 149.804636 1.252144 149.621267 1.252149
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-9570-75,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-40de-73f1-9432-3312ec25a126,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-40de-73f1-9432-3312ec25a126,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,9570,75,i,,deep_coadd - i - tract=9570 patch=75,149.5462539649632,1.1604861006574823,0.2592635240865665,POLYGON ICRS 149.454575 1.068821 149.637936 1.068826 149.637937 1.252149 149.454567 1.252144
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-9570-80,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-f2d4-7613-a0e5-19c9c57f9587,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-f2d4-7613-a0e5-19c9c57f9587,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,9570,80,i,,deep_coadd - i - tract=9570 patch=80,150.3797187913584,1.3270269314480805,0.2592362561600002,POLYGON ICRS 150.288035 1.235402 150.471373 1.235351 150.471408 1.418645 150.288062 1.418705
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-9570-81,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-c5c6-7211-aec7-515323200b0a,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-c5c6-7211-aec7-515323200b0a,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,9570,81,i,,deep_coadd - i - tract=9570 patch=81,150.21303930458618,1.3270718421547032,0.2592451738751694,POLYGON ICRS 150.121353 1.235439 150.304703 1.235398 150.304731 1.418700 150.121373 1.418746
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-9570-82,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-b16d-77cf-9754-1efb182ecf0b,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-b16d-77cf-9754-1efb182ecf0b,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,9570,82,i,,deep_coadd - i - tract=9570 patch=82,150.04634994234402,1.3271055277119912,0.259251606778839,POLYGON ICRS 149.954662 1.235464 150.138021 1.235435 150.138042 1.418742 149.954675 1.418775
image,lsst.deep_coadd,Rubin:Simonyi,3,,lsst_cells_v2-9570-83,LSST.DP2,ivo://org.rubinobs/usdac/lsst-dp2?repo=dp2&id=019ed8bf-158c-73ae-b726-a439455b7690,https://data.lsst.cloud/api/datalink/links?ID=ivo%3A%2F%2Forg.rubinobs%2Flsst-dp2%3Frepo%3Ddp2%26id%3D019ed8bf-158c-73ae-b726-a439455b7690,application/x-votable+xml;content=datalink,,3300,3300,,,,,,,6.936e-07,8.188e-07,,i,phot.flux.density,,LSSTCam,,,9570,83,i,,deep_coadd - i - tract=9570 patch=83,149.87965352561292,1.3271279855490659,0.259254749896931,POLYGON ICRS 149.787966 1.235479 149.971331 1.235462 149.971346 1.418773 149.787972 1.418793
